"Year","Unit","Fleet","Estimate_metric_tons","SD_log","SD_mt"
2003,1,"Coastwide",0.0419742546698713,0.349587439848374,0.014673672229584
2004,1,"Coastwide",0.0410833046529003,0.291780192505732,0.0119872945403949
2005,1,"Coastwide",0.04850724977853,0.295418573840212,0.0143299425504842
2006,1,"Coastwide",0.0210022966024449,0.389600527322593,0.00818250583129803
2007,1,"Coastwide",0.0131501774591364,0.705013104308737,0.00927104743267653
2008,1,"Coastwide",0.0134958447652459,0.671280561540689,0.00905949825248021
2009,1,"Coastwide",0.0126323883728763,0.405200555232237,0.00511865078259874
2010,1,"Coastwide",0.0445087121890694,0.302458345182964,0.0134620314349308
2011,1,"Coastwide",0.077860490605893,0.253282485197683,0.0197206985593715
2012,1,"Coastwide",0.078707077691029,0.254469810198184,0.02002857512129
2013,1,"Coastwide",0.0509994824237347,0.404505173017188,0.0206295544615998
2014,1,"Coastwide",0.0484978159553603,0.295647212116802,0.014338244080956
2015,1,"Coastwide",0.0656435708789866,0.331779585309778,0.0217791967244832
